date,no1,no2,no3,no4,no5
2014-01-01 00:00:00,0.852660,-0.394456,0.517688,0.092264,0.136324
2014-01-01 01:00:00,0.115636,-0.899486,0.441090,-0.482694,-0.284102
2014-01-01 02:00:00,0.653815,0.133958,-0.623752,-0.583938,-0.060630
2014-01-01 03:00:00,0.491457,-0.366219,0.864831,-0.347059,0.403445
2014-01-01 04:00:00,0.248280,0.830852,-0.032744,1.351797,0.424558
2014-01-01 05:00:00,-0.419839,1.748133,-1.754508,-0.980365,0.634535
2014-01-01 06:00:00,-0.727736,0.314727,1.328882,0.015749,1.332580
2014-01-01 07:00:00,1.060637,0.294202,-0.614191,2.389861,0.219806
2014-01-01 08:00:00,0.569254,1.062216,1.180752,-1.016865,1.185776
2014-01-01 09:00:00,1.440070,0.168855,0.724349,-0.197141,-1.588933
2014-01-01 10:00:00,0.635597,-2.083983,-0.339383,-0.838824,0.464019
2014-01-01 11:00:00,0.126788,0.829618,0.779188,1.589831,1.526087
2014-01-01 12:00:00,0.133897,1.030463,1.115141,0.474014,-0.981884
2014-01-01 13:00:00,2.020145,0.870015,0.792451,-0.805667,-0.153162
2014-01-01 14:00:00,-0.518790,-0.207412,0.061014,1.283903,0.457456
2014-01-01 15:00:00,-2.151918,-0.596872,0.131410,-2.168958,-2.238430
2014-01-01 16:00:00,0.054106,-0.840515,-1.237031,-1.833925,0.680655
2014-01-01 17:00:00,-1.319523,0.715100,-0.227306,1.123248,0.748648
2014-01-01 18:00:00,0.073394,-0.450223,1.443675,0.159498,0.237553
2014-01-01 19:00:00,0.767037,-1.252181,-1.072386,0.014131,0.290348
2014-01-01 20:00:00,0.151277,0.460575,-0.444985,-0.605354,0.061112
2014-01-01 21:00:00,-0.398657,0.337775,-0.402277,-0.880272,-0.548287
2014-01-01 22:00:00,0.197922,-0.001182,0.241630,0.997509,-1.306290
2014-01-01 23:00:00,1.138003,-1.065480,1.799428,0.321601,-0.427589
2014-01-02 00:00:00,-0.330736,0.229623,-0.899497,0.524273,0.648293
2014-01-02 01:00:00,-0.422272,-0.857497,2.404903,1.533623,-0.793103
2014-01-02 02:00:00,-1.637951,-0.187944,0.773279,0.104239,0.715228
2014-01-02 03:00:00,1.662020,0.592246,-1.023717,0.174162,-1.122359
2014-01-02 04:00:00,-1.652419,0.101197,0.672841,1.253251,0.460041
