Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
NVDA,Common Stock,NVIDIA Corporation,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market.",1045810,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2701 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, US",https://www.nvidia.com,January,2025-04-30,4231248740000,88247001000,55.79,1.682,3.438,0.04,0.0002,3.11,6.06,0.517,0.491,0.532,1.155,148514996000,104120001000,3.11,0.267,0.692,179.75,12,47,6,1,0,55.79,38.91,28.49,50.47,28.2,46.05,2.131,174.72,86.61,150.36,133.66,24387600000,23419364000,4.324,67.403,2025-07-03,2025-06-11
TSLA,Common Stock,Tesla Inc,"Tesla, Inc. is an American electric vehicle and clean energy company based in Palo Alto, California. Tesla's current products include electric cars, battery energy storage from home to grid-scale, solar panels and solar roof tiles, as well as other related products and services. In 2020, Tesla had the highest sales in the plug-in and battery electric passenger car segments, capturing 16% of the plug-in market (which includes plug-in hybrids) and 23% of the battery-electric (purely electric) market. Through its subsidiary Tesla Energy, the company develops and is a major installer of solar photovoltaic energy generation systems in the United States. Tesla Energy is also one of the largest global suppliers of battery energy storage systems, with 3 GWh of battery storage supplied in 2020.",1318605,NASDAQ,USD,USA,MANUFACTURING,MOTOR VEHICLES & PASSENGER CAR BODIES,"3500 DEER CREEK RD, PALO ALTO, CA, US",https://www.tesla.com,December,2025-06-30,1019435745000,11346000000,188.13,5.58,23.98,None,None,1.68,28.86,0.0634,0.041,0.0291,0.0818,92719997000,16207000000,1.68,-0.175,-0.118,307.19,7,14,16,7,3,188.13,158.73,10.99,13.19,10.74,73.53,2.398,488.54,182,325.99,319.62,3225450000,2807076000,12.874,49.915,None,None
LCID,Common Stock,Lucid Group Inc,None,1811210,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,BLANK CHECKS,"640 FIFTH AVENUE, 12TH FLOOR, NEW YORK, NY, US",https://www.lucidmotors.com,December,2025-03-31,8906759000,-2638075904,None,None,1.044,None,None,-1.19,0.331,-2.757,-2.944,-0.204,-0.501,870140000,-919566976,-1.19,0,0.361,2.677,0,1,11,1,2,-,-,10.24,2.798,9.03,-2.116,0.789,4.43,1.93,2.415,2.538,3050260000,1233068000,1.507,73.730,None,None
WBD,Common Stock,Warner Bros Discovery Inc,"Warner Bros. The company is headquartered in New York, New York.",1437107,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"8403 COLESVILLE ROAD, SILVER SPRING, MD, US",https://ir.wbd.com,December,2025-03-31,33375203000,7585000000,None,2.786,13.68,None,None,-4.4,15.62,-0.282,0.0246,0.005,-0.273,38342001000,16601000000,-4.4,2.267,-0.098,14.43,3,11,11,0,0,-,666.67,0.871,0.986,1.746,6.13,1.544,13.68,6.64,10.79,9.94,2474070000,2338248000,5.988,70.730,None,None
AAL,Common Stock,American Airlines Group,"American Airlines Group Inc. is an American publicly traded airline holding company headquartered in Fort Worth, Texas.",6201,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"AIR TRANSPORTATION, SCHEDULED","1 SKYVIEW DRIVE, FORT WORTH, TX, US",https://www.aa.com,December,2025-06-30,7588034000,5108000000,13.69,0.54,-5.87,None,None,0.84,82.38,0.0105,0.0829,0.028,0,54250000000,13303000000,0.84,-0.1,0.004,13.7,3,10,10,0,1,13.69,15.55,0.14,-,0.668,14.26,1.359,19.1,8.5,11.57,13.3,659829000,653547000,1.492,67.507,2020-02-19,2020-02-04
PLUG,Common Stock,Plug Power Inc,"Plug Power Inc. provides turnkey hydrogen fuel cell solutions for the stationary power and electric mobility markets in North America and Europe. The company is headquartered in Latham, New York.",1093691,NASDAQ,USD,USA,MANUFACTURING,ELECTRICAL INDUSTRIAL APPARATUS,"968 ALBANY-SHAKER ROAD, LATHAM, NY, US",https://www.plugpower.com,December,2025-03-31,2111106000,-948899968,None,-0.27,1.9,None,None,-2.43,0.746,0,-1.287,-0.151,-0.825,642224000,-497991008,-2.43,0,0.112,1.944,1,5,13,3,1,-,-,3.287,1.137,4.363,-2.231,2.296,3.32,0.69,1.238,1.682,1147340000,999099000,5.400,37.785,None,None
CAN,Common Stock,Canaan Inc,"Canaan Inc. is engaged in the research, design and sale of IC end system products by integrating bitcoin mining IC products and related components mainly in the People's Republic of China. The company is headquartered in Hangzhou, the People's Republic of China.",1780652,NASDAQ,USD,China,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"ROOM 2101, 21ST FLOOR,BUILDING 1,YARD 1, NO. 81 BEIQING ROAD,, HAIDIAN DISTRICT, BEIJING,, CHINA",https://investor.canaan-creative.com,December,2025-03-31,366585000,-170164256,None,None,0.641,None,None,-1.03,1.094,-0.936,-0.461,-0.217,-0.904,317009000,-46347000,-1.03,-0.916,1.359,2.6,1,4,1,0,0,-,2.152,1.156,1.498,1.58,0.598,3.294,3.27,0.535,0.714,1.287,439586000,6206661000,8.726,20.471,None,None
RIOT,Common Stock,Riot Blockchain Inc,"Riot Blockchain, Inc., focuses on the cryptocurrency mining operation in North America. The company is headquartered in Castle Rock, Colorado.",1167419,NASDAQ,USD,USA,LIFE SCIENCES,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"1775 38TH STREET, BOULDER, CO, US",https://www.riotplatforms.com,December,2025-03-31,5194618000,-117915000,None,None,8.41,None,None,-1.37,1.563,-0.869,-1.807,-0.0742,-0.147,458749000,147507000,-1.37,0.373,1.035,16.9,5,10,1,0,0,-,20.88,11.32,1.764,12.16,9.87,4.583,15.87,6.19,10.7,10.24,357264000,331526000,6.839,59.936,2017-10-18,2017-10-12
AMD,Common Stock,Advanced Micro Devices Inc,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company based in Santa Clara, California, that develops computer processors and related technologies for business and consumer markets. AMD's main products include microprocessors, motherboard chipsets, embedded processors and graphics processors for servers, workstations, personal computers and embedded system applications.",2488,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"2485 AUGUSTINE DRIVE, SANTA CLARA, CA, US",https://www.amd.com,December,2025-03-31,269914472000,5878000000,121.51,0.813,35.82,None,None,1.37,17.12,0.0802,0.108,0.0256,0.039,27750001000,14868000000,1.37,5.25,0.359,146.01,7,29,16,0,0,121.51,43.67,9.73,4.663,9.63,44.76,2.045,174.05,76.48,131.75,123.35,1621400000,1610071000,0.522,67.909,None,1995-04-27
MARA,Common Stock,Marathon Digital Holdings Inc,"Marathon Digital Holdings, Inc. is a cryptocurrency mining digital asset technology company with a focus on the blockchain ecosystem and digital asset generation in the United States. The company is headquartered in Las Vegas, Nevada.",1507605,NASDAQ,USD,USA,REAL ESTATE & CONSTRUCTION,PATENT OWNERS & LESSORS,"1180 N. TOWN CENTER DRIVE, SUITE 100, LAS VEGAS, NV, US",https://www.mara.com,December,2025-03-31,6070758000,-241876000,None,0,10.76,None,None,-1.09,2.266,-0.467,-3.198,-0.099,-0.106,705064000,255626000,-1.09,0.867,0.295,21.58,2,4,8,1,0,-,39.53,8.61,1.63,12.07,75.14,6.55,30.28,9.81,16.42,17.02,351928000,345783000,0.786,61.119,2019-04-08,None
