Date,NormalizedPrice,Market
2015-08-01,100.0,standard
2015-09-01,96.94439881080255,standard
2015-10-01,105.73732091390113,standard
2015-11-01,106.12384854417083,standard
2015-12-01,103.67274506776643,standard
2016-01-01,99.09753444637907,standard
2016-02-01,99.01565029404854,standard
2016-03-01,105.1338213416364,standard
2016-04-01,106.09253989769152,standard
2016-05-01,107.8973702751553,standard
2016-06-01,107.71223810028768,standard
2016-07-01,112.22119599945277,standard
2016-08-01,112.35558783792324,standard
2016-09-01,111.79738919403907,standard
2016-10-01,110.41410378060834,standard
2016-11-01,114.48158137693211,standard
2016-12-01,116.11790915016485,standard
2017-01-01,118.89244678674756,standard
2017-02-01,123.56393676147903,standard
2017-03-01,123.18248224912378,standard
2017-04-01,124.94643465119017,standard
2017-05-01,126.70978267458806,standard
2017-06-01,126.89870595201269,standard
2017-07-01,130.13857853433777,standard
2017-08-01,130.51826569695024,standard
2017-09-01,132.49064632437955,standard
2017-10-01,136.28566818548856,standard
2017-11-01,140.4513390009401,standard
2017-12-01,141.4318426608192,standard
2018-01-01,150.16648800866938,standard
2018-02-01,144.70634797230042,standard
2018-03-01,140.17843456035024,standard
2018-04-01,141.46723544193725,standard
2018-05-01,144.90616838026332,standard
2018-06-01,145.08801310146438,standard
2018-07-01,151.13863109696743,standard
2018-08-01,155.96291898780126,standard
2018-09-01,156.18324248423073,standard
2018-10-01,146.04849900726225,standard
2018-11-01,148.75756228808973,standard
2018-12-01,134.87210889511704,standard
2019-01-01,146.52137037185588,standard
2019-02-01,151.27095339636088,standard
2019-03-01,153.33365200572217,standard
2019-04-01,160.30069120773723,standard
2019-05-01,150.0781388360363,standard
2019-06-01,159.74458957468772,standard
2019-07-01,162.94851078348904,standard
2019-08-01,160.2202722158152,standard
2019-09-01,162.5869641381844,standard
2019-10-01,166.94828881168715,standard
2019-11-01,172.99154437613743,standard
2019-12-01,177.1469407542243,standard
2020-01-01,177.9459842975096,standard
2020-02-01,163.85877831628528,standard
2020-03-01,142.55921949439877,standard
2020-04-01,161.60664362335635,standard
2020-05-01,169.30640954566658,standard
2020-06-01,171.55409381385468,standard
2020-07-01,182.4566271311445,standard
2020-08-01,195.1914717408102,standard
2020-09-01,187.13369387268085,standard
2020-10-01,183.19821807191116,standard
2020-11-01,203.12595636056355,standard
2020-12-01,209.7573089984841,standard
2021-01-01,208.50477999426022,standard
2021-02-01,214.30243804523425,standard
2021-03-01,223.30022620245256,standard
2021-04-01,235.88516658782274,standard
2021-05-01,237.4340242846675,standard
2021-06-01,241.9674503626547,standard
2021-07-01,248.68541229522322,standard
2021-08-01,256.0862671796926,standard
2021-09-01,243.37158684014898,standard
2021-10-01,261.28178093177974,standard
2021-11-01,259.18242584044805,standard
2021-12-01,270.2196623427952,standard
2022-01-01,256.8672343064379,standard
2022-02-01,249.2852855954769,standard
2022-03-01,257.854953881329,standard
2022-04-01,235.9540291270226,standard
2022-05-01,236.48665156452577,standard
2022-06-01,216.05255383869283,standard
2022-07-01,236.967462267083,standard
2022-08-01,227.29875884430345,standard
2022-09-01,205.44202699081876,standard
2022-10-01,223.05193645672566,standard
2022-11-01,235.4517171954705,standard
2022-12-01,220.86879250453237,standard
2023-01-01,235.83668809280618,standard
2023-02-01,229.90712897605619,standard
2023-03-01,237.5250656895512,standard
2023-04-01,242.24050131928539,standard
2023-05-01,243.35874837206944,standard
2023-06-01,258.1693406759847,standard
2023-07-01,267.6104680583126,standard
2023-08-01,263.26124927268523,standard
2023-09-01,249.8921367221761,standard
2023-10-01,245.32964552458512,standard
2023-11-01,267.73899925514905,standard
2023-12-01,278.83224151411144,standard
2024-01-01,284.4215354404904,standard
2024-02-01,299.26459936195926,standard
2024-03-01,308.0938574431888,standard
2024-04-01,296.5902970118237,standard
2024-05-01,311.5917814024626,standard
2024-06-01,321.5473632332281,standard
2024-07-01,326.4909609675773,standard
2024-08-01,334.11961166655954,standard
2024-09-01,340.0944991834478,standard
2024-10-01,338.09352961354745,standard
2024-11-01,358.2551990759233,standard
2024-12-01,348.46268959862476,standard
2025-01-01,359.02547053168655,standard
2025-02-01,354.4676861619079,standard
2025-03-01,333.713139540229,standard
2025-04-01,331.81498760199577,standard
2025-05-01,352.6678831160958,standard
2025-06-01,369.69718614112094,standard
2025-07-01,382.39063996924625,standard
2015-08-01,100.0,US Indexes
2015-09-01,97.22545187511206,US Indexes
2015-10-01,106.83382304856406,US Indexes
2015-11-01,107.54335689686815,US Indexes
2015-12-01,104.76027776172022,US Indexes
2016-01-01,99.76546191281159,US Indexes
2016-02-01,99.3425188998866,US Indexes
2016-03-01,106.29848724241178,US Indexes
2016-04-01,105.37015946282371,US Indexes
2016-05-01,108.44202748992511,US Indexes
2016-06-01,107.35576872643021,US Indexes
2016-07-01,113.18137574892317,US Indexes
2016-08-01,114.16555352733964,US Indexes
2016-09-01,114.64784329621797,US Indexes
2016-10-01,113.60060004643753,US Indexes
2016-11-01,116.53992821322431,US Indexes
2016-12-01,118.01870483774059,US Indexes
2017-01-01,121.77802231364473,US Indexes
2017-02-01,126.97033320347543,US Indexes
2017-03-01,127.58670954595804,US Indexes
2017-04-01,129.9825323898157,US Indexes
2017-05-01,133.21073437018057,US Indexes
2017-06-01,131.97875643025128,US Indexes
2017-07-01,136.22385832013632,US Indexes
2017-08-01,138.01194569390665,US Indexes
2017-09-01,139.59234917904334,US Indexes
2017-10-01,146.057490006034,US Indexes
2017-11-01,149.4390400593033,US Indexes
2017-12-01,150.04540037744962,US Indexes
2018-01-01,160.19689712825445,US Indexes
2018-02-01,156.56475494726874,US Indexes
2018-03-01,151.50307881626563,US Indexes
2018-04-01,152.4170409991236,US Indexes
2018-05-01,158.79259591382709,US Indexes
2018-06-01,158.44730586226146,US Indexes
2018-07-01,164.21596797337398,US Indexes
2018-08-01,173.10981318888932,US Indexes
2018-09-01,173.16615813020962,US Indexes
2018-10-01,160.80178634581083,US Indexes
2018-11-01,161.6980967572572,US Indexes
2018-12-01,147.01599594360982,US Indexes
2019-01-01,159.50824264428175,US Indexes
2019-02-01,167.20299473971775,US Indexes
2019-03-01,171.06516304029205,US Indexes
2019-04-01,180.35065434533985,US Indexes
2019-05-01,167.03099804763534,US Indexes
2019-06-01,179.12903463839277,US Indexes
2019-07-01,184.0464827611012,US Indexes
2019-08-01,180.59270424945123,US Indexes
2019-09-01,182.86563056009177,US Indexes
2019-10-01,188.85585416291042,US Indexes
2019-11-01,197.22208082647285,US Indexes
2019-12-01,203.04979390651843,US Indexes
2020-01-01,207.04785216378045,US Indexes
2020-02-01,191.09975676954505,US Indexes
2020-03-01,168.72647715833523,US Indexes
2020-04-01,192.19384855352018,US Indexes
2020-05-01,203.9461455930492,US Indexes
2020-06-01,211.5946727697491,US Indexes
2020-07-01,224.93993438518942,US Indexes
2020-08-01,244.9167157051129,US Indexes
2020-09-01,233.68183791711704,US Indexes
2020-10-01,226.5829732339995,US Indexes
2020-11-01,252.9949636814513,US Indexes
2020-12-01,263.9210250187712,US Indexes
2021-01-01,262.4438920848575,US Indexes
2021-02-01,268.1302748317665,US Indexes
2021-03-01,274.8463465753727,US Indexes
2021-04-01,289.97827478669245,US Indexes
2021-05-01,289.3857255265089,US Indexes
2021-06-01,301.7195482484687,US Indexes
2021-07-01,311.16004962647014,US Indexes
2021-08-01,321.1744267382596,US Indexes
2021-09-01,303.7405976955468,US Indexes
2021-10-01,327.6268722221853,US Indexes
2021-11-01,331.052112134957,US Indexes
2021-12-01,342.05508644393154,US Indexes
2022-01-01,320.7873446428805,US Indexes
2022-02-01,309.21594861914286,US Indexes
2022-03-01,319.3841267954496,US Indexes
2022-04-01,287.5788603048627,US Indexes
2022-05-01,285.80400171309174,US Indexes
2022-06-01,259.9259570715066,US Indexes
2022-07-01,289.55966394673095,US Indexes
2022-08-01,275.6462882631648,US Indexes
2022-09-01,246.20641177895504,US Indexes
2022-10-01,266.3608335230755,US Indexes
2022-11-01,280.90887012852033,US Indexes
2022-12-01,261.0411933826727,US Indexes
2023-01-01,282.37515990776933,US Indexes
2023-02-01,279.0437813339227,US Indexes
2023-03-01,295.986990403369,US Indexes
2023-04-01,299.04646754101714,US Indexes
2023-05-01,311.4118569941501,US Indexes
2023-06-01,330.33734745719715,US Indexes
2023-07-01,341.4483832695898,US Indexes
2023-08-01,334.9893487317924,US Indexes
2023-09-01,315.31351176379,US Indexes
2023-10-01,310.0621309917073,US Indexes
2023-11-01,344.49419106326997,US Indexes
2023-12-01,359.7847149021159,US Indexes
2024-01-01,367.38315820982484,US Indexes
2024-02-01,385.8647289679872,US Indexes
2024-03-01,394.11783802228456,US Indexes
2024-04-01,376.2624750162663,US Indexes
2024-05-01,400.6029395692455,US Indexes
2024-06-01,422.35984509662654,US Indexes
2024-07-01,422.8316173973779,US Indexes
2024-08-01,430.1415141136574,US Indexes
2024-09-01,438.73573859215895,US Indexes
2024-10-01,436.1459012578469,US Indexes
2024-11-01,463.9544834496948,US Indexes
2024-12-01,457.3490578508667,US Indexes
2025-01-01,462.8047832443761,US Indexes
2025-02-01,453.21581053638585,US Indexes
2025-03-01,418.9834830833059,US Indexes
2025-04-01,420.6312277826264,US Indexes
2025-05-01,455.1554381530968,US Indexes
2025-06-01,487.1446387042142,US Indexes
2025-07-01,508.3496870076796,US Indexes
2015-08-01,100.0,US Indicators
2015-09-01,91.2168524900361,US Indicators
2015-10-01,97.95192338099987,US Indicators
2015-11-01,94.34761331308381,US Indicators
2015-12-01,88.76672529112201,US Indicators
2016-01-01,84.32508781534631,US Indicators
2016-02-01,88.5505055685315,US Indicators
2016-03-01,101.30550980638864,US Indicators
2016-04-01,113.40144514295108,US Indicators
2016-05-01,106.3551266307453,US Indicators
2016-06-01,114.78079914937568,US Indicators
2016-07-01,128.47482045140995,US Indicators
2016-08-01,116.88149420033047,US Indicators
2016-09-01,119.62363211970364,US Indicators
2016-10-01,116.58963681622367,US Indicators
2016-11-01,140.84732248150755,US Indicators
2016-12-01,141.27994728858624,US Indicators
2017-01-01,146.12329342901427,US Indicators
2017-02-01,157.3092979728814,US Indicators
2017-03-01,147.5871958380015,US Indicators
2017-04-01,140.83580291882254,US Indicators
2017-05-01,139.9406449936374,US Indicators
2017-06-01,143.41245006795367,US Indicators
2017-07-01,146.17406540191206,US Indicators
2017-08-01,151.45204993598412,US Indicators
2017-09-01,154.52202486783335,US Indicators
2017-10-01,152.61063567773806,US Indicators
2017-11-01,163.10668819160853,US Indicators
2017-12-01,171.6925183360535,US Indicators
2018-01-01,177.04745480118527,US Indicators
2018-02-01,174.45093317184998,US Indicators
2018-03-01,169.68971215579396,US Indicators
2018-04-01,172.2593755223716,US Indicators
2018-05-01,182.04088203041218,US Indicators
2018-06-01,177.87958245282195,US Indicators
2018-07-01,193.82147838955706,US Indicators
2018-08-01,188.49810158072526,US Indicators
2018-09-01,203.1776733830542,US Indicators
2018-10-01,180.64573265554662,US Indicators
2018-11-01,179.7042169612155,US Indicators
2018-12-01,158.81258321942343,US Indicators
2019-01-01,179.48324870983404,US Indicators
2019-02-01,188.83900378043563,US Indicators
2019-03-01,185.75838124424473,US Indicators
2019-04-01,189.88714071755467,US Indicators
2019-05-01,174.94561968127465,US Indicators
